#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__uncultured;order__unknown;family__unknown;genus__unknown	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__Coccolithales;order__unknown;family__unknown;genus__unknown	0	0	0	10	11	12	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__Coccolithales;order__unknown;family__unknown;genus__Reticulosphaera	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__Coccolithales;order__unknown;family__unknown;genus__Jomonlithus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__Coccolithales;order__unknown;family__unknown;genus__Cruciplacolithus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__Coccolithales;order__unknown;family__unknown;genus__Coronosphaera	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Prymnesiophyceae;class__Coccolithales;order__unknown;family__unknown;genus__Algirosphaera	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Protalveolata;class__Syndiniales;order__unknown;family__unknown;genus__unknown	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Protalveolata;class__Syndiniales;order__unknown;family__unknown;genus__uncultured	0	0	0	6	1	1	0	0	0	0	0	0	0	1	0	0	0
root__Root;domain__Eukaryota;phylum__Protalveolata;class__Syndiniales;order__unknown;family__unknown;genus__Amoebophrya	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Protalveolata;class__Syndiniales;order__unknown;family__SyndinialesGroupIII;genus__unknown	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__Protalveolata;class__Syndiniales;order__unknown;family__SyndinialesGroupII;genus__unknown	0	0	1	4	1	7	0	0	0	0	0	0	0	0	0	1	1
