#taxpath	11HMC.bins	12HMC.bins	13HMC.bins	BON01.bins	BON02.bins	BON03.bins	HotLakConsUCCSLE.bins	Mar14236cm.bins	Mar14336cm.bins	Mar14436cm.bins	OV2TP1.bins	OV2TP2.bins	OV2TP3.bins	SSSS.bins	VSG.bins	frozenSSSS.bins	grotaG.bins
root__Root;domain__Bacteria;phylum__WS1;class__unknown	0	0	0	0	0	0	0	270	0	21	0	0	3	0	0	0	0
root__Root;domain__Bacteria;phylum__WPS-2;class__unknown	0	3	0	0	0	0	0	2	0	0	0	2	1	73	0	35	48
root__Root;domain__Bacteria;phylum__WOR-1;class__unknown	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
root__Root;domain__Bacteria;phylum__Verrucomicrobiota;class__Verrucomicrobiae	416	322	371	6067	6574	6012	0	83	0	10	183	152	99	21	1079	1598	6
root__Root;domain__Bacteria;phylum__Verrucomicrobiota;class__Omnitrophia	0	2	0	0	0	0	0	191	0	623	241	870	2154	0	5	0	0
root__Root;domain__Bacteria;phylum__Verrucomicrobiota;class__Lentisphaeria	0	0	0	0	0	0	0	37	0	11	0	5	2	0	0	0	0
root__Root;domain__Bacteria;phylum__Verrucomicrobiota;class__Kiritimatiellae	0	0	0	0	2	0	0	234	0	104	0	4	2	0	0	0	0
root__Root;domain__Bacteria;phylum__Verrucomicrobiota;class__Chlamydiae	13	2	5	21	28	41	0	28	0	8	181	75	33	2	35	13	0
root__Root;domain__Bacteria;phylum__Thermotogota;class__Thermotogae	0	0	0	0	0	0	0	3417	0	252	0	0	1	0	0	0	0
root__Root;domain__Bacteria;phylum__TX1A-33;class__unknown	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
root__Root;domain__Bacteria;phylum__TA06;class__unknown	0	0	0	0	0	0	0	85	0	41	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Synergistota;class__Synergistia	0	0	0	0	0	0	0	199	0	4	0	1	3	0	0	0	0
root__Root;domain__Bacteria;phylum__Sva0485;class__unknown	0	0	0	0	0	0	0	150	0	306	8	4	1	0	2	0	0
root__Root;domain__Bacteria;phylum__Sumerlaeota;class__Sumerlaeia	8	3	6	1	0	0	0	31	0	20	81	10	149	0	4	0	0
root__Root;domain__Bacteria;phylum__Spirochaetota;class__V2072-189E03	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Spirochaetota;class__Spirochaetia	0	0	0	0	0	0	0	538	0	174	0	0	2	0	0	0	0
root__Root;domain__Bacteria;phylum__Spirochaetota;class__Leptospirae	0	0	0	0	0	0	0	4	0	1	0	5	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Spirochaetota;class__Brachyspirae	0	0	0	0	0	0	0	6	0	89	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Schekmanbacteria;class__unknown	0	0	0	0	0	0	0	15	0	0	38	27	30	0	0	0	0
root__Root;domain__Bacteria;phylum__SAR324cladeMarinegroupB;class__unknown	1	3	1	0	0	0	1	52	0	2	11	94	29	0	24	0	0
root__Root;domain__Bacteria;phylum__RCP2-54;class__unknown	0	0	2	0	0	0	0	2	0	4	250	133	34	0	49	0	0
root__Root;domain__Bacteria;phylum__Proteobacteria;class__Zetaproteobacteria	0	0	0	1	1	0	0	4	0	0	0	1	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Proteobacteria;class__Gammaproteobacteria	396	354	494	15791	18979	17261	5283	5287	0	214	2924	2440	1982	8041	5393	7034	7859
root__Root;domain__Bacteria;phylum__Proteobacteria;class__Alphaproteobacteria	5522	4238	5900	10291	11016	11018	8877	137	0	19	2421	1312	1210	2199	4325	3315	2195
root__Root;domain__Bacteria;phylum__Poribacteria;class__unknown	0	0	0	0	0	0	0	1	0	0	0	23	5	0	0	0	0
root__Root;domain__Bacteria;phylum__Planctomycetota;class__vadinHA49	1	1	11	1	1	2	0	66	0	3	20	3	1	22	4	6	20
root__Root;domain__Bacteria;phylum__Planctomycetota;class__SPG12-343-353-B69	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Planctomycetota;class__SGST604	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Planctomycetota;class__Planctomycetes	632	452	603	3793	3836	3703	0	159	0	27	1048	498	252	73	2595	91	100
root__Root;domain__Bacteria;phylum__Planctomycetota;class__Pla4lineage	0	0	0	0	0	0	0	80	0	4	199	212	371	0	34	0	0
root__Root;domain__Bacteria;phylum__Planctomycetota;class__Pla3lineage	0	0	0	0	0	0	0	9	0	5	4	13	11	0	18	0	0
root__Root;domain__Bacteria;phylum__Planctomycetota;class__Phycisphaerae	407	309	296	126	144	124	0	1228	0	183	142	60	51	32	276	55	46
root__Root;domain__Bacteria;phylum__Planctomycetota;class__OM190	0	0	0	53	64	62	2	76	0	23	195	68	20	0	232	0	0
root__Root;domain__Bacteria;phylum__Planctomycetota;class__ODP123	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Planctomycetota;class__Brocadiae	0	0	0	0	0	0	0	46	0	1	0	61	35	0	0	0	0
root__Root;domain__Bacteria;phylum__Planctomycetota;class__BD7-11	1	1	1	0	0	0	0	1	0	0	11	6	21	0	7	0	0
root__Root;domain__Bacteria;phylum__Planctomycetota;class__028H05-P-BN-P5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Patescibacteria;class__uncultured	0	5	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0
root__Root;domain__Bacteria;phylum__Patescibacteria;class__WWE3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Patescibacteria;class__Saccharimonadia	55	71	95	35	29	23	0	5	0	0	53	71	8	1241	82	1909	398
root__Root;domain__Bacteria;phylum__Patescibacteria;class__Parcubacteria	8	9	18	168	182	193	0	71	56	35	16	265	95	14	49	119	4
